product_slug;color_slug;image_url;is_primary;display_order
gildan-r-softstyle-r-unisex-t-shirt;negro;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-negro.jpg;True;0
gildan-r-softstyle-r-unisex-t-shirt;coral-seda;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-coral-seda.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;blanco;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-blanco.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;gris-deportivo;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-gris-deportivo.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;azul-real;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-azul-real.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;azul-marino-jaspeado;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-azul-marino-jaspeado.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;morado;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-morado.jpg;False;1
gildan-r-softstyle-r-unisex-t-shirt;rojo;/media/product_images/ropa_y_bolsos/polos/gildan-r-softstyle-r-unisex-t-shirt-rojo.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;azul-real;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-azul-real.jpg;True;0
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;negro;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-negro.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;blanco;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-blanco.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;azul-marino;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-azul-marino.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;asfalto;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-asfalto.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;rojo;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-rojo.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;rosa;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-rosa.jpg;False;1
bella-canvas-r-ultra-soft-jersey-unisex-t-shirt;natural;/media/product_images/ropa_y_bolsos/polos/bella-canvas-r-ultra-soft-jersey-unisex-t-shirt-natural.jpg;False;1
allmade-r-organic-cotton-unisex-t-shirt;azul-cielo-nocturno;/media/product_images/ropa_y_bolsos/polos/allmade-r-organic-cotton-unisex-t-shirt-azul-cielo-nocturno.jpg;True;0
allmade-r-organic-cotton-unisex-t-shirt;negro-profundo;/media/product_images/ropa_y_bolsos/polos/allmade-r-organic-cotton-unisex-t-shirt-negro-profundo.jpg;False;1
allmade-r-organic-cotton-unisex-t-shirt;gris-terreno;/media/product_images/ropa_y_bolsos/polos/allmade-r-organic-cotton-unisex-t-shirt-gris-terreno.jpg;False;1
allmade-r-organic-cotton-unisex-t-shirt;blanco-brillante;/media/product_images/ropa_y_bolsos/polos/allmade-r-organic-cotton-unisex-t-shirt-blanco-brillante.jpg;False;1
district-r-very-important-tee-r-with-left-chest-and-back-print;azul-marino;/media/product_images/ropa_y_bolsos/polos/district-r-very-important-tee-r-with-left-chest-and-back-print-azul-marino.jpg;True;0
district-r-very-important-tee-r-with-left-chest-and-back-print;rojo;/media/product_images/ropa_y_bolsos/polos/district-r-very-important-tee-r-with-left-chest-and-back-print-rojo.jpg;False;1
district-r-very-important-tee-r-with-left-chest-and-back-print;azul-real;/media/product_images/ropa_y_bolsos/polos/district-r-very-important-tee-r-with-left-chest-and-back-print-azul-real.jpg;False;1
district-r-very-important-tee-r-with-left-chest-and-back-print;verde;/media/product_images/ropa_y_bolsos/polos/district-r-very-important-tee-r-with-left-chest-and-back-print-verde.jpg;False;1
