category;subcategory;product;size;quantity;price
Stickers;;Stickers transparentes;3cm x 3cm;10;10
Stickers;;Stickers transparentes;3cm x 3cm;20;20
Stickers;;Stickers transparentes;3cm x 3cm;50;30
Stickers;;Stickers transparentes;3cm x 3cm;100;40
Stickers;;Stickers transparentes;3cm x 3cm;200;70
Stickers;;Stickers transparentes;3cm x 3cm;300;120
Stickers;;Stickers transparentes;3cm x 3cm;500;200
Stickers;;Stickers transparentes;3cm x 3cm;1000;300
Stickers;;Stickers transparentes;3cm x 3cm;2000;600
Stickers;;Stickers transparentes;5cm x 5cm;10;20
Stickers;;Stickers transparentes;5cm x 5cm;20;30
Stickers;;Stickers transparentes;5cm x 5cm;50;40
Stickers;;Stickers transparentes;5cm x 5cm;100;60
Stickers;;Stickers transparentes;5cm x 5cm;200;110
Stickers;;Stickers transparentes;5cm x 5cm;300;170
Stickers;;Stickers transparentes;5cm x 5cm;500;220
Stickers;;Stickers transparentes;5cm x 5cm;1000;400
Stickers;;Stickers transparentes;5cm x 5cm;2000;900
Stickers;;Stickers transparentes;7cm x 7cm;10;30
Stickers;;Stickers transparentes;7cm x 7cm;20;40
Stickers;;Stickers transparentes;7cm x 7cm;50;70
Stickers;;Stickers transparentes;7cm x 7cm;100;80
Stickers;;Stickers transparentes;7cm x 7cm;200;140
Stickers;;Stickers transparentes;7cm x 7cm;300;180
Stickers;;Stickers transparentes;7cm x 7cm;500;250
Stickers;;Stickers transparentes;7cm x 7cm;1000;480
Stickers;;Stickers transparentes;7cm x 7cm;2000;950
Stickers;;Stickers transparentes;10cm x 10cm;10;40
Stickers;;Stickers transparentes;10cm x 10cm;20;50
Stickers;;Stickers transparentes;10cm x 10cm;50;90
Stickers;;Stickers transparentes;10cm x 10cm;100;140
Stickers;;Stickers transparentes;10cm x 10cm;200;250
Stickers;;Stickers transparentes;10cm x 10cm;300;380
Stickers;;Stickers transparentes;10cm x 10cm;500;580
Stickers;;Stickers transparentes;10cm x 10cm;1000;1240
Stickers;;Stickers transparentes;10cm x 10cm;2000;2200
Stickers;;Stickers transparentes;13cm x 13cm;10;50
Stickers;;Stickers transparentes;13cm x 13cm;20;60
Stickers;;Stickers transparentes;13cm x 13cm;50;100
Stickers;;Stickers transparentes;13cm x 13cm;100;150
Stickers;;Stickers transparentes;13cm x 13cm;200;260
Stickers;;Stickers transparentes;13cm x 13cm;300;390
Stickers;;Stickers transparentes;13cm x 13cm;500;600
Stickers;;Stickers transparentes;13cm x 13cm;1000;1400
Stickers;;Stickers transparentes;13cm x 13cm;2000;2500
Stickers;;Stickers transparentes;15cm x 15cm;10;70
Stickers;;Stickers transparentes;15cm x 15cm;20;90
Stickers;;Stickers transparentes;15cm x 15cm;50;120
Stickers;;Stickers transparentes;15cm x 15cm;100;240
Stickers;;Stickers transparentes;15cm x 15cm;200;440
Stickers;;Stickers transparentes;15cm x 15cm;300;680
Stickers;;Stickers transparentes;15cm x 15cm;500;1400
Stickers;;Stickers transparentes;15cm x 15cm;1000;2200
Stickers;;Stickers transparentes;15cm x 15cm;2000;4400
Stickers;;Stickers troquelados;3cm x 3cm;10;10
Stickers;;Stickers troquelados;3cm x 3cm;20;20
Stickers;;Stickers troquelados;3cm x 3cm;50;30
Stickers;;Stickers troquelados;3cm x 3cm;100;50
Stickers;;Stickers troquelados;3cm x 3cm;200;80
Stickers;;Stickers troquelados;3cm x 3cm;300;140
Stickers;;Stickers troquelados;3cm x 3cm;500;200
Stickers;;Stickers troquelados;3cm x 3cm;1000;300
Stickers;;Stickers troquelados;3cm x 3cm;2000;600
Stickers;;Stickers troquelados;5cm x 5cm;10;20
Stickers;;Stickers troquelados;5cm x 5cm;20;30
