"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","No descargada","SPBRVJT9"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-UFFIQA9IZ%252F5%252Ftemplates%252Fs4ffaf1d4-2abc-4672-89d1-330949dd4f58%253Av1..4e621475-7abb-4a85-82c1-3803ff8b444f%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical%2526optionSelections%25255BSize%25255D%253D22%2522%2Bx%2B28%2522%2526optionSelections%25255BSubstrates%25255D%253D5mm%2526optionSelections%25255BShape%25255D%253DRectangle%2B%25252F%2Bsquare&merchant_metadata=s4ffaf1d4-2abc-4672-89d1-330949dd4f58%3Av1..4e621475-7abb-4a85-82c1-3803ff8b444f&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FBasMwEET%252FZc7C2G7sGH1DKYX2VnJQ5MUWtSUjrUlSo38vlg1p6KW9LLOD5u1owcW03EPWh0agJ9P1DNmUB4EwOIZcMKmOIAuBUYXP1eDbRJBgb0bEKKCdZbqmt6FXrbusSrvB%252BVV4yFygS%252FOcpoIsqjwKKNsNlKzWBFZWb0swX6vI8mKlT961s070vSqqOisbPeJeGMciq8pkhfkc2CumH1VfnCVEsVVO5Sy72QfIjwV6cIFaSPYzCQRWnl%252BdseniFRJ5VuaJfLsv%252B6%252Fd7N%252BoG8nyhtrPPRtL7w4CZNsHVFVnefOLFcV%252Fk8cieyr%252FGn3of0%252Be4inG%252BA0%253D&width=412&showerr=true&bgcolor=f3f3f3","CCE-2ZTZ0MM0.jpg","2ZTZ0MM0"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","A8MVBEA6"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-UFFIQA9IZ%252F5%252Ftemplates%252Fs4ffaf1d4-2abc-4672-89d1-330949dd4f58%253Av1..4e621475-7abb-4a85-82c1-3803ff8b444f%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical%2526optionSelections%25255BSize%25255D%253D22%2522%2Bx%2B28%2522%2526optionSelections%25255BSubstrates%25255D%253D5mm%2526optionSelections%25255BShape%25255D%253DRectangle%2B%25252F%2Bsquare&merchant_metadata=s4ffaf1d4-2abc-4672-89d1-330949dd4f58%3Av1..4e621475-7abb-4a85-82c1-3803ff8b444f&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FBasMwEET%252FZc7C2G7sGH1DKYX2VnJQ5MUWtSUjrUlSo38vlg1p6KW9LLOD5u1owcW03EPWh0agJ9P1DNmUB4EwOIZcMKmOIAuBUYXP1eDbRJBgb0bEKKCdZbqmt6FXrbusSrvB%252BVV4yFygS%252FOcpoIsqjwKKNsNlKzWBFZWb0swX6vI8mKlT961s070vSqqOisbPeJeGMciq8pkhfkc2CumH1VfnCVEsVVO5Sy72QfIjwV6cIFaSPYzCQRWnl%252BdseniFRJ5VuaJfLsv%252B6%252Fd7N%252BoG8nyhtrPPRtL7w4CZNsHVFVnefOLFcV%252Fk8cieyr%252FGn3of0%252Be4inG%252BA0%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","WWIOWUV7"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","UD5IMBF6"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","NMXKERPS"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","9PJ45S01"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-UFFIQA9IZ%252F5%252Ftemplates%252Fs5a57623a-399c-491c-9365-6d02771eda78%253Av1..4e621475-7abb-4a85-82c1-3803ff8b444f%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical%2526optionSelections%25255BSize%25255D%253D22%2522%2Bx%2B28%2522%2526optionSelections%25255BSubstrates%25255D%253D5mm%2526optionSelections%25255BShape%25255D%253DRectangle%2B%25252F%2Bsquare&merchant_metadata=s5a57623a-399c-491c-9365-6d02771eda78%3Av1..4e621475-7abb-4a85-82c1-3803ff8b444f&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FBasMwEET%252FZc7C2G7sGH1DKYX2VnJQ5MUWtSUjrUlSo38vlg1p6KW9LLOD5u1owcW03EPWh0agJ9P1DNmUB4EwOIZcMKmOIAuBUYXP1eDbRJBgb0bEKKCdZbqmt6FXrbusSrvB%252BVV4yFygS%252FOcpoIsqjwKKNsNlKzWBFZWb0swX6vI8mKlT961s070vSqqOisbPeJeGMciq8pkhfkc2CumH1VfnCVEsVVO5Sy72QfIjwV6cIFaSPYzCQRWnl%252BdseniFRJ5VuaJfLsv%252B6%252Fd7N%252BoG8nyhtrPPRtL7w4CZNsHVFVnefOLFcV%252Fk8cieyr%252FGn3of0%252Be4inG%252BA0%253D&width=412&showerr=true&bgcolor=f3f3f3","CCE-GRFLITGX.jpg","GRFLITGX"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","4YWEGV6X"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-UFFIQA9IZ%252F5%252Ftemplates%252Fs5a57623a-399c-491c-9365-6d02771eda78%253Av1..4e621475-7abb-4a85-82c1-3803ff8b444f%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical%2526optionSelections%25255BSize%25255D%253D22%2522%2Bx%2B28%2522%2526optionSelections%25255BSubstrates%25255D%253D5mm%2526optionSelections%25255BShape%25255D%253DRectangle%2B%25252F%2Bsquare&merchant_metadata=s5a57623a-399c-491c-9365-6d02771eda78%3Av1..4e621475-7abb-4a85-82c1-3803ff8b444f&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FBasMwEET%252FZc7C2G7sGH1DKYX2VnJQ5MUWtSUjrUlSo38vlg1p6KW9LLOD5u1owcW03EPWh0agJ9P1DNmUB4EwOIZcMKmOIAuBUYXP1eDbRJBgb0bEKKCdZbqmt6FXrbusSrvB%252BVV4yFygS%252FOcpoIsqjwKKNsNlKzWBFZWb0swX6vI8mKlT961s070vSqqOisbPeJeGMciq8pkhfkc2CumH1VfnCVEsVVO5Sy72QfIjwV6cIFaSPYzCQRWnl%252BdseniFRJ5VuaJfLsv%252B6%252Fd7N%252BoG8nyhtrPPRtL7w4CZNsHVFVnefOLFcV%252Fk8cieyr%252FGn3of0%252Be4inG%252BA0%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","UE8L2LMX"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","QB4SZC6S"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","TBH6WFOU"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/consumer-signage/foam-board-wedding-signs?page=1","Sin imagen","No descargada","QWOQY9HH"
