"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","No descargada","UN0MIGS2"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-JVIIPB3O%252F18%252Ftemplates%252Fsfb2f441c-49ae-4a0b-ada0-3049ec808637%253Av2..548ab930-0d79-4115-819b-5ca5bd3cd76e%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D4%2522%2Bx%2B8%2522%2526optionSelections%25255BFold%25255D%253DFlat%2526optionSelections%25255BTrim%25255D%253DStandard%2526optionSelections%25255BPaper%2BStock%25255D%253DStandard%2BMatte%2B-%2B271gsm%2B%25252814pt%252529%2BUncoated%2526optionSelections%25255BFoil%2BColor%25255D%253DNone%2526optionSelections%25255BBackside%25255D%253DColor%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical&merchant_metadata=sfb2f441c-49ae-4a0b-ada0-3049ec808637%3Av2..548ab930-0d79-4115-819b-5ca5bd3cd76e&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrY%252FBTsMwEET%252FZc5WlLQUGn8DQkhwQz24ziqxSLyRvVFbIv87ihMBF8SFy2pm5J19nnFxjXTQ%252B4daoSPXdgJ93N0pxJ4FesZoWoKuFAYT35dAbiNBQ4IbkJKCZS90zW9jZxq%252BLMpyz2ERAbpUaPM852mgq0OZFIxve8pR46IYb1cT3cciirJa2sfAzWRz%252B4aKujjaAd%252B42FXFPidxOkcJRugH5xN7QlIrbybzwlOI0G8zbM%252BRGmgJEylEMUGe2fl87gqNsqgOufm2nslu%252BzNP4YXagbysXdu9R%252BfplaFAvvm9azMpqb8X6%252BL%252BHxa%252F6NMpnVJKnw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","TM-1LZ1X91F.jpg","1LZ1X91F"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","Sin imagen","No descargada","WEK2XKZ6"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-JVIIPB3O%252F18%252Ftemplates%252Fsfb2f441c-49ae-4a0b-ada0-3049ec808637%253Av2..548ab930-0d79-4115-819b-5ca5bd3cd76e%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D4%2522%2Bx%2B8%2522%2526optionSelections%25255BFold%25255D%253DFlat%2526optionSelections%25255BTrim%25255D%253DStandard%2526optionSelections%25255BPaper%2BStock%25255D%253DStandard%2BMatte%2B-%2B271gsm%2B%25252814pt%252529%2BUncoated%2526optionSelections%25255BFoil%2BColor%25255D%253DNone%2526optionSelections%25255BBackside%25255D%253DColor%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical&merchant_metadata=sfb2f441c-49ae-4a0b-ada0-3049ec808637%3Av2..548ab930-0d79-4115-819b-5ca5bd3cd76e&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrY%252FBTsMwEET%252FZc5WlLQUGn8DQkhwQz24ziqxSLyRvVFbIv87ihMBF8SFy2pm5J19nnFxjXTQ%252B4daoSPXdgJ93N0pxJ4FesZoWoKuFAYT35dAbiNBQ4IbkJKCZS90zW9jZxq%252BLMpyz2ERAbpUaPM852mgq0OZFIxve8pR46IYb1cT3cciirJa2sfAzWRz%252B4aKujjaAd%252B42FXFPidxOkcJRugH5xN7QlIrbybzwlOI0G8zbM%252BRGmgJEylEMUGe2fl87gqNsqgOufm2nslu%252BzNP4YXagbysXdu9R%252BfplaFAvvm9azMpqb8X6%252BL%252BHxa%252F6NMpnVJKnw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","15WBNOJF"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","Sin imagen","No descargada","IPZ21HQD"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","Sin imagen","No descargada","3SLMT2KF"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","Sin imagen","No descargada","6NX2RLCW"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-JVIIPB3O%252F18%252Ftemplates%252Fs27028a36-dff7-449d-b402-73f3f0a276c2%253Av1..548ab930-0d79-4115-819b-5ca5bd3cd76e%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D4%2522%2Bx%2B8%2522%2526optionSelections%25255BFold%25255D%253DFlat%2526optionSelections%25255BTrim%25255D%253DStandard%2526optionSelections%25255BPaper%2BStock%25255D%253DStandard%2BMatte%2B-%2B271gsm%2B%25252814pt%252529%2BUncoated%2526optionSelections%25255BFoil%2BColor%25255D%253DNone%2526optionSelections%25255BBackside%25255D%253DColor%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical&merchant_metadata=s27028a36-dff7-449d-b402-73f3f0a276c2%3Av1..548ab930-0d79-4115-819b-5ca5bd3cd76e&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrY%252FBTsMwEET%252FZc5WlLQUGn8DQkhwQz24ziqxSLyRvVFbIv87ihMBF8SFy2pm5J19nnFxjXTQ%252B4daoSPXdgJ93N0pxJ4FesZoWoKuFAYT35dAbiNBQ4IbkJKCZS90zW9jZxq%252BLMpyz2ERAbpUaPM852mgq0OZFIxve8pR46IYb1cT3cciirJa2sfAzWRz%252B4aKujjaAd%252B42FXFPidxOkcJRugH5xN7QlIrbybzwlOI0G8zbM%252BRGmgJEylEMUGe2fl87gqNsqgOufm2nslu%252BzNP4YXagbysXdu9R%252BfplaFAvvm9azMpqb8X6%252BL%252BHxa%252F6NMpnVJKnw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","TM-SIS4SCCN.jpg","SIS4SCCN"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","Sin imagen","No descargada","TIBU9DO1"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/stationery/menus/templates?qty=10&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-JVIIPB3O%252F18%252Ftemplates%252Fs27028a36-dff7-449d-b402-73f3f0a276c2%253Av1..548ab930-0d79-4115-819b-5ca5bd3cd76e%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D4%2522%2Bx%2B8%2522%2526optionSelections%25255BFold%25255D%253DFlat%2526optionSelections%25255BTrim%25255D%253DStandard%2526optionSelections%25255BPaper%2BStock%25255D%253DStandard%2BMatte%2B-%2B271gsm%2B%25252814pt%252529%2BUncoated%2526optionSelections%25255BFoil%2BColor%25255D%253DNone%2526optionSelections%25255BBackside%25255D%253DColor%2526optionSelections%25255BProduct%2BOrientation%25255D%253DVertical&merchant_metadata=s27028a36-dff7-449d-b402-73f3f0a276c2%3Av1..548ab930-0d79-4115-819b-5ca5bd3cd76e&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrY%252FBTsMwEET%252FZc5WlLQUGn8DQkhwQz24ziqxSLyRvVFbIv87ihMBF8SFy2pm5J19nnFxjXTQ%252B4daoSPXdgJ93N0pxJ4FesZoWoKuFAYT35dAbiNBQ4IbkJKCZS90zW9jZxq%252BLMpyz2ERAbpUaPM852mgq0OZFIxve8pR46IYb1cT3cciirJa2sfAzWRz%252B4aKujjaAd%252B42FXFPidxOkcJRugH5xN7QlIrbybzwlOI0G8zbM%252BRGmgJEylEMUGe2fl87gqNsqgOufm2nslu%252BzNP4YXagbysXdu9R%252BfplaFAvvm9azMpqb8X6%252BL%252BHxa%252F6NMpnVJKnw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","W4WV1XEC"
