"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","No descargada","NIQ1K19C"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-2OXN7JVJK%252F7%252Ftemplates%252Fc5156493..af2f9f98-dbb2-4bfd-9ba9-ac4510912448%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2B%25252B%2BKit%2526optionSelections%25255BSize%25255D%253D7.5%2BFT%2526optionSelections%25255BShape%25255D%253DStraight%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BMaterial%25255D%253DStandard&merchant_metadata=c5156493..af2f9f98-dbb2-4bfd-9ba9-ac4510912448&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZPbjqMwDIbfxdeRRQ5AmmeYkVbq3o3mIoWIooWkSsIctuLdV4SqdCvo7khzExnr%252F%252B3PcTjDe1vHIyiWSwJH0zbHCEoyQSB0LoI6w0k3BhQl0Ovwa0rEz5MBBdG3PYwjgcrZaD6SNhx17d6nqHKd81PgQWUEmnQe0qlB0TwbCWjbdCal6jZEbav5I7S%252FpwAzOlU%252FeVcPVap%252BQYVcYMaqHhZgoCXDcs6F4RCi19HcsO6jtrX2NYxk5k6ENrrBB1AvZ6g6F0wNKvrBEAhR%252B%252FjDtTa1%252FZhaZljIVP4TFHAs86qHy%252Bxu8HvT9MbGudal51NrzU8HBIytH9SihcRdWaWr%252FLeXIxffYZUZ8t2d89m9zc5pKO%252B65KaP7X%252BL2XVE5PQqLihSOYvvmQqU5VWXC6T30zxmWrdvMFGKIl9WyJBvQDGKdKFnFHnxJaoN%252FwYWKzHPlpVyzHfrWLxEyZYNYCa%252Ftr9V%252BwaUELd3JVDwdab13%252BJ%252FXuOG83V8HcfxDw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","BM-KGXG2FK2.jpg","KGXG2FK2"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","Sin imagen","No descargada","1LSO53KW"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-2OXN7JVJK%252F7%252Ftemplates%252Fc5156493..af2f9f98-dbb2-4bfd-9ba9-ac4510912448%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2B%25252B%2BKit%2526optionSelections%25255BSize%25255D%253D7.5%2BFT%2526optionSelections%25255BShape%25255D%253DStraight%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BMaterial%25255D%253DStandard&merchant_metadata=c5156493..af2f9f98-dbb2-4bfd-9ba9-ac4510912448&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZPbjqMwDIbfxdeRRQ5AmmeYkVbq3o3mIoWIooWkSsIctuLdV4SqdCvo7khzExnr%252F%252B3PcTjDe1vHIyiWSwJH0zbHCEoyQSB0LoI6w0k3BhQl0Ovwa0rEz5MBBdG3PYwjgcrZaD6SNhx17d6nqHKd81PgQWUEmnQe0qlB0TwbCWjbdCal6jZEbav5I7S%252FpwAzOlU%252FeVcPVap%252BQYVcYMaqHhZgoCXDcs6F4RCi19HcsO6jtrX2NYxk5k6ENrrBB1AvZ6g6F0wNKvrBEAhR%252B%252FjDtTa1%252FZhaZljIVP4TFHAs86qHy%252Bxu8HvT9MbGudal51NrzU8HBIytH9SihcRdWaWr%252FLeXIxffYZUZ8t2d89m9zc5pKO%252B65KaP7X%252BL2XVE5PQqLihSOYvvmQqU5VWXC6T30zxmWrdvMFGKIl9WyJBvQDGKdKFnFHnxJaoN%252FwYWKzHPlpVyzHfrWLxEyZYNYCa%252Ftr9V%252BwaUELd3JVDwdab13%252BJ%252FXuOG83V8HcfxDw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","DBGG5JHT"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","Sin imagen","No descargada","MD9VR9CO"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","Sin imagen","No descargada","RCPWLUSN"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","Sin imagen","No descargada","3DHKRNDV"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-2OXN7JVJK%252F7%252Ftemplates%252Fc5174380..af2f9f98-dbb2-4bfd-9ba9-ac4510912448%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2B%25252B%2BKit%2526optionSelections%25255BSize%25255D%253D7.5%2BFT%2526optionSelections%25255BShape%25255D%253DStraight%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BMaterial%25255D%253DStandard&merchant_metadata=c5174380..af2f9f98-dbb2-4bfd-9ba9-ac4510912448&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZPbjqMwDIbfxdeRRQ5AmmeYkVbq3o3mIoWIooWkSsIctuLdV4SqdCvo7khzExnr%252F%252B3PcTjDe1vHIyiWSwJH0zbHCEoyQSB0LoI6w0k3BhQl0Ovwa0rEz5MBBdG3PYwjgcrZaD6SNhx17d6nqHKd81PgQWUEmnQe0qlB0TwbCWjbdCal6jZEbav5I7S%252FpwAzOlU%252FeVcPVap%252BQYVcYMaqHhZgoCXDcs6F4RCi19HcsO6jtrX2NYxk5k6ENrrBB1AvZ6g6F0wNKvrBEAhR%252B%252FjDtTa1%252FZhaZljIVP4TFHAs86qHy%252Bxu8HvT9MbGudal51NrzU8HBIytH9SihcRdWaWr%252FLeXIxffYZUZ8t2d89m9zc5pKO%252B65KaP7X%252BL2XVE5PQqLihSOYvvmQqU5VWXC6T30zxmWrdvMFGKIl9WyJBvQDGKdKFnFHnxJaoN%252FwYWKzHPlpVyzHfrWLxEyZYNYCa%252Ftr9V%252BwaUELd3JVDwdab13%252BJ%252FXuOG83V8HcfxDw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","BM-5ZL70VBS.jpg","5ZL70VBS"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","Sin imagen","No descargada","LR4TXIC8"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/sail-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-2OXN7JVJK%252F7%252Ftemplates%252Fc5174380..af2f9f98-dbb2-4bfd-9ba9-ac4510912448%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2B%25252B%2BKit%2526optionSelections%25255BSize%25255D%253D7.5%2BFT%2526optionSelections%25255BShape%25255D%253DStraight%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BMaterial%25255D%253DStandard&merchant_metadata=c5174380..af2f9f98-dbb2-4bfd-9ba9-ac4510912448&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZPbjqMwDIbfxdeRRQ5AmmeYkVbq3o3mIoWIooWkSsIctuLdV4SqdCvo7khzExnr%252F%252B3PcTjDe1vHIyiWSwJH0zbHCEoyQSB0LoI6w0k3BhQl0Ovwa0rEz5MBBdG3PYwjgcrZaD6SNhx17d6nqHKd81PgQWUEmnQe0qlB0TwbCWjbdCal6jZEbav5I7S%252FpwAzOlU%252FeVcPVap%252BQYVcYMaqHhZgoCXDcs6F4RCi19HcsO6jtrX2NYxk5k6ENrrBB1AvZ6g6F0wNKvrBEAhR%252B%252FjDtTa1%252FZhaZljIVP4TFHAs86qHy%252Bxu8HvT9MbGudal51NrzU8HBIytH9SihcRdWaWr%252FLeXIxffYZUZ8t2d89m9zc5pKO%252B65KaP7X%252BL2XVE5PQqLihSOYvvmQqU5VWXC6T30zxmWrdvMFGKIl9WyJBvQDGKdKFnFHnxJaoN%252FwYWKzHPlpVyzHfrWLxEyZYNYCa%252Ftr9V%252BwaUELd3JVDwdab13%252BJ%252FXuOG83V8HcfxDw%253D%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","NL3MF613"
