"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","No descargada","FQ43JE0Q"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-J7PZMSVD5%252F5%252Ftemplates%252Fm246900e751ca4753a1b50e3a72bae1d5-front%253Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2BFabric%2BOnly%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BSize%25255D%253D13%2BFT&merchant_metadata=m246900e751ca4753a1b50e3a72bae1d5-front%3Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZFRT8MgFIX%252Fy3kmpLR26%252FgNzpjom9kDo6RtbGEB6jYX%252FruB1kwT55boC7ncnHPud%252BGEfVf7FjwvFwSt6prWg7OM3RG43njwE3aiUeCMYBDuNTb8cafA4W03IAQCabRXh6R1rajNPlbS9MbGwoJnBE06t%252BkU4KzMAoHQTa9Sq%252B6cF1pOF9e9x4JmLKbvrKlHmdJnVlQFrZb5Sg44M6MocrpczV03bp23wqsvvA9GKwQycSdC7c1oHfjLCbI3TtXg3o6KwHlh%252FaPpdBp7AAejRZaSj2kUo2W8zsub0T6pZlDaT2HzwPtOq2cDAqXry2ELWlQyPeR146y9aFybt8kYqazpk5n96v6uzX%252FUzrzhCtCn7JZNqpyW%252F%252BE8f8Ut3gu%252F%252BBfrJmxCCB8%253D&width=412&showerr=true&bgcolor=f3f3f3","BR-KBPG531X.jpg","KBPG531X"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","Sin imagen","No descargada","X3ILNXRN"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-J7PZMSVD5%252F5%252Ftemplates%252Fm246900e751ca4753a1b50e3a72bae1d5-front%253Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2BFabric%2BOnly%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BSize%25255D%253D13%2BFT&merchant_metadata=m246900e751ca4753a1b50e3a72bae1d5-front%3Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZFRT8MgFIX%252Fy3kmpLR26%252FgNzpjom9kDo6RtbGEB6jYX%252FruB1kwT55boC7ncnHPud%252BGEfVf7FjwvFwSt6prWg7OM3RG43njwE3aiUeCMYBDuNTb8cafA4W03IAQCabRXh6R1rajNPlbS9MbGwoJnBE06t%252BkU4KzMAoHQTa9Sq%252B6cF1pOF9e9x4JmLKbvrKlHmdJnVlQFrZb5Sg44M6MocrpczV03bp23wqsvvA9GKwQycSdC7c1oHfjLCbI3TtXg3o6KwHlh%252FaPpdBp7AAejRZaSj2kUo2W8zsub0T6pZlDaT2HzwPtOq2cDAqXry2ELWlQyPeR146y9aFybt8kYqazpk5n96v6uzX%252FUzrzhCtCn7JZNqpyW%252F%252BE8f8Ut3gu%252F%252BBfrJmxCCB8%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","3URX67E2"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","Sin imagen","No descargada","0EFAUTQB"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","Sin imagen","No descargada","6UY447YX"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","Sin imagen","No descargada","2NJZB3D0"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-J7PZMSVD5%252F5%252Ftemplates%252Fm462b38a1c69c45ee96817d2d78d89545-front%253Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2BFabric%2BOnly%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BSize%25255D%253D13%2BFT&merchant_metadata=m462b38a1c69c45ee96817d2d78d89545-front%3Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZFRT8MgFIX%252Fy3kmpLR26%252FgNzpjom9kDo6RtbGEB6jYX%252FruB1kwT55boC7ncnHPud%252BGEfVf7FjwvFwSt6prWg7OM3RG43njwE3aiUeCMYBDuNTb8cafA4W03IAQCabRXh6R1rajNPlbS9MbGwoJnBE06t%252BkU4KzMAoHQTa9Sq%252B6cF1pOF9e9x4JmLKbvrKlHmdJnVlQFrZb5Sg44M6MocrpczV03bp23wqsvvA9GKwQycSdC7c1oHfjLCbI3TtXg3o6KwHlh%252FaPpdBp7AAejRZaSj2kUo2W8zsub0T6pZlDaT2HzwPtOq2cDAqXry2ELWlQyPeR146y9aFybt8kYqazpk5n96v6uzX%252FUzrzhCtCn7JZNqpyW%252F%252BE8f8Ut3gu%252F%252BBfrJmxCCB8%253D&width=412&showerr=true&bgcolor=f3f3f3","BR-Q5ID3F4G.jpg","Q5ID3F4G"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","Sin imagen","No descargada","DNTHZN57"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/flags/rectangle-flags/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-J7PZMSVD5%252F5%252Ftemplates%252Fm462b38a1c69c45ee96817d2d78d89545-front%253Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BKit%2BOption%25255D%253DFlag%2BFabric%2BOnly%2526optionSelections%25255BPrinted%2BOption%25255D%253DDouble%2BSided%2526optionSelections%25255BSize%25255D%253D13%2BFT&merchant_metadata=m462b38a1c69c45ee96817d2d78d89545-front%3Av1..9655048d-7e9e-4e02-bbbe-c0462b9ed926&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DrZFRT8MgFIX%252Fy3kmpLR26%252FgNzpjom9kDo6RtbGEB6jYX%252FruB1kwT55boC7ncnHPud%252BGEfVf7FjwvFwSt6prWg7OM3RG43njwE3aiUeCMYBDuNTb8cafA4W03IAQCabRXh6R1rajNPlbS9MbGwoJnBE06t%252BkU4KzMAoHQTa9Sq%252B6cF1pOF9e9x4JmLKbvrKlHmdJnVlQFrZb5Sg44M6MocrpczV03bp23wqsvvA9GKwQycSdC7c1oHfjLCbI3TtXg3o6KwHlh%252FaPpdBp7AAejRZaSj2kUo2W8zsub0T6pZlDaT2HzwPtOq2cDAqXry2ELWlQyPeR146y9aFybt8kYqazpk5n96v6uzX%252FUzrzhCtCn7JZNqpyW%252F%252BE8f8Ut3gu%252F%252BBfrJmxCCB8%253D&width=412&showerr=true&bgcolor=f3f3f3","No descargada","U4NFCDPP"
