"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","No descargada","28BGBRDG"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3DFalse%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-G0FY0APWW%252F14%252Ftemplates%252Fs06aaf866-8779-4683-a598-4b7fa00fd693%253Av2..f4aeda13-c2b5-4995-b9e1-d5d4f9963ebc%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D8%2522%2520x%252010%2522%2526optionSelections%25255BOrientation%25255D%253DVertical%2526optionSelections%25255BBorder%2520Option%25255D%253DFull%2520Photo%2526optionSelections%25255BFrame%25255D%253DStandard%2520Black&merchant_metadata=s06aaf866-8779-4683-a598-4b7fa00fd693%3Av2..f4aeda13-c2b5-4995-b9e1-d5d4f9963ebc&scene=https%3A%2F%2Fassets.documents.cimpress.io%2Fv3%2Fcompose%3FsceneUrl%3Dhttps%253a%252f%252fassets.documents.cimpress.io%252fv3%252fassets%252fdbbd16a6-ef3e-46f7-afee-b9433851cbe9%252fcontent%26compositionOperations%3DlY1BDoIwFETv8te1gRaEdukBXBgXGuOiwLclQNtAlRjC3S0HMMbdvMnLzG0B53FUoXX2%252fPYIkhHAHge04aiGyDAZ1bh5V%252fWq7qi3GghUMerRPW1zwsG9ovVQ%252fYQr%252bb1W6b83kq8ygXp0%252frD1E8gFgvOX%252bJlmNEtZQTa%252bgkw5o7xMRE5gbptgQAomaF4WnIDBVpsQnUQUVOxLvq73Dw%253d%253d&width=412&showerr=true&bgcolor=f3f3f3","C-36I3DEDW.jpg","36I3DEDW"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","Sin imagen","No descargada","X5IMVUAY"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3DFalse%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-G0FY0APWW%252F14%252Ftemplates%252Fs06aaf866-8779-4683-a598-4b7fa00fd693%253Av2..f4aeda13-c2b5-4995-b9e1-d5d4f9963ebc%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D8%2522%2520x%252010%2522%2526optionSelections%25255BOrientation%25255D%253DVertical%2526optionSelections%25255BBorder%2520Option%25255D%253DFull%2520Photo%2526optionSelections%25255BFrame%25255D%253DStandard%2520Black&merchant_metadata=s06aaf866-8779-4683-a598-4b7fa00fd693%3Av2..f4aeda13-c2b5-4995-b9e1-d5d4f9963ebc&scene=https%3A%2F%2Fassets.documents.cimpress.io%2Fv3%2Fcompose%3FsceneUrl%3Dhttps%253a%252f%252fassets.documents.cimpress.io%252fv3%252fassets%252fdbbd16a6-ef3e-46f7-afee-b9433851cbe9%252fcontent%26compositionOperations%3DlY1BDoIwFETv8te1gRaEdukBXBgXGuOiwLclQNtAlRjC3S0HMMbdvMnLzG0B53FUoXX2%252fPYIkhHAHge04aiGyDAZ1bh5V%252fWq7qi3GghUMerRPW1zwsG9ovVQ%252fYQr%252bb1W6b83kq8ygXp0%252frD1E8gFgvOX%252bJlmNEtZQTa%252bgkw5o7xMRE5gbptgQAomaF4WnIDBVpsQnUQUVOxLvq73Dw%253d%253d&width=412&showerr=true&bgcolor=f3f3f3","No descargada","DD0X7ND9"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","Sin imagen","No descargada","YO9QADDN"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","Sin imagen","No descargada","UWFKOYAA"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","Sin imagen","No descargada","12KSO9ZR"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3DFalse%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-G0FY0APWW%252F14%252Ftemplates%252Fsd8d72b2c-1e40-4ea9-b373-dbca0b435af7%253Av1..3006beaf-3d9e-4e5a-a68d-99fd503f3552%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D16%2522%2520x%252020%2522%2526optionSelections%25255BOrientation%25255D%253DHorizontal%2526optionSelections%25255BBorder%2520Option%25255D%253DFull%2520Photo%2526optionSelections%25255BFrame%25255D%253DStandard%2520Black&merchant_metadata=sd8d72b2c-1e40-4ea9-b373-dbca0b435af7%3Av1..3006beaf-3d9e-4e5a-a68d-99fd503f3552&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fassets%2F9005c666-3230-47e8-b241-db57cfb4f6f3%2Fcontent&width=412&showerr=true&bgcolor=f3f3f3","C-ZJODVH0A.jpg","ZJODVH0A"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","Sin imagen","No descargada","H26XZ40Q"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/photo-gifts/wall-art/framed-prints/templates?qty=1&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Finstructions.documents.cimpress.io%2Fv3%2Finstructions%3Apreview%3FignoreProjection%3DFalse%26documentUri%3Dhttps%253A%252F%252Fdesign-specifications.design.vpsvc.com%252Fv2%252FrenderDocuments%252Fproducts%252FPRD-G0FY0APWW%252F14%252Ftemplates%252Fsd8d72b2c-1e40-4ea9-b373-dbca0b435af7%253Av1..3006beaf-3d9e-4e5a-a68d-99fd503f3552%253Fculture%253Den-us%2526useFakeFamily%253Dfalse%2526requester%253Dgallery-content-query%2526optionSelections%25255BSize%25255D%253D16%2522%2520x%252020%2522%2526optionSelections%25255BOrientation%25255D%253DHorizontal%2526optionSelections%25255BBorder%2520Option%25255D%253DFull%2520Photo%2526optionSelections%25255BFrame%25255D%253DStandard%2520Black&merchant_metadata=sd8d72b2c-1e40-4ea9-b373-dbca0b435af7%3Av1..3006beaf-3d9e-4e5a-a68d-99fd503f3552&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fassets%2F9005c666-3230-47e8-b241-db57cfb4f6f3%2Fcontent&width=412&showerr=true&bgcolor=f3f3f3","No descargada","JJVRKGPH"
